country_id,country_name,iso_code,confederation,latitude,longitude
19,Belgium,BE,UEFA,50.5039,4.4699
39,Denmark,DK,UEFA,56.2639,9.5018
189,England,GB,UEFA,52.3555,-1.1743
50,France,FR,UEFA,46.2276,2.2137
40,Germany,DE,UEFA,51.1657,10.4515
56,Greece,GR,UEFA,39.0742,21.8243
-1,International,INT,FIFA,0.0,0.0
75,Italy,IT,UEFA,41.8719,12.5674
122,Netherlands,NL,UEFA,52.1326,5.2913
136,Portugal,PT,UEFA,39.3999,-8.2245
141,Russia,RU,UEFA,61.524,105.3188
190,Scotland,GB-SCT,UEFA,56.4907,-4.2026
157,Spain,ES,UEFA,40.4637,-3.7492
174,Turkey,TR,UEFA,38.9637,35.2433
177,Ukraine,UA,UEFA,48.3794,31.1656
